# 
# Study ERP023010: Nippostrongylus brasiliensis Genome & Transcriptome sequencing and assembly
# See Chandler .. Eccles, 2017: https://www.ncbi.nlm.nih.gov/pubmed/28491281, Eccles .. Ewbank, 2018: https://www.ncbi.nlm.nih.gov/pubmed/29325570
# Reads aligned with TopHat2 and quantified with HTSeq, by RNASeq-er: https://www.ebi.ac.uk/fg/rnaseq/api
# 
# Values are transcripts per million units (TPMs) per gene for each run
gene_id	ERR2023649	ERR2023650	ERR2023651	ERR2023646	ERR2023647	ERR2023648	ERR2023652	ERR2023653	ERR2023654
NBR_0002148401	2.23	2.34	0.84	5.47	4.25	2.8	1.48	1.73	1.41
NBR_0002148501	84.3	74.88	79.42	25.43	24.2	27.67	73.24	68.05	72.2
NBR_0002148601	4.81	8.04	7.11	24.82	27.53	20.84	6.92	6.61	6.61
NBR_0002148701	6.91	6.13	7.84	0.22	0.22	0.23	9.19	5.15	6.58
NBR_0002148801	22.21	26.11	21.15	29.48	27.82	24.35	23.52	17.85	19.93
NBR_0002148901	6.76	7.66	6.02	7.11	5.53	6.22	7.17	7.93	6.06
NBR_0002149001	0.36	0.68	0.22	0.33	0.78	0.59	0.57	0.54	0.66
NBR_0002149101	77.89	69.32	75.55	42.71	39.88	49.01	65.58	75.02	76.01
NBR_0002149201	0.22	0.21	0.3	0.2	0.52	0.65	0.32	0.1	0.1
NBR_0002149301	18.91	15.61	14.85	1.02	1.48	0.77	12.76	13.05	10.59
NBR_0002149401	6.17	6.98	5.64	17.85	17.77	16.93	6.06	6.29	5.03
NBR_0002149501	5.33	7.26	5.71	10.65	8.4	10.09	6.89	8.11	6.58
NBR_0002149601	61.65	43.84	55.28	81.39	75.37	86.58	40.89	52.97	70.35
NBR_0002149701	0.16	0	0.15	0	0	0.32	0.05	0	0.1
NBR_0002149801	159.65	124.37	122.11	231.22	228.63	281.72	108.67	108.11	124.43
NBR_0002149901	6.16	4.61	3.62	10.77	8.65	10.16	1.91	2.97	2.43
NBR_0002150001	6.68	7.62	8.23	5.63	4.9	6.43	7.4	7.77	6.52
NBR_0002150101	19.41	17.56	16.86	38.9	30.45	34.58	14.96	15.18	14.51
NBR_0002150201	2.42	3.98	2.82	4.98	4.94	3.89	1.38	2.48	2.53
NBR_0002150301	6.55	8.87	8.69	4.26	4.84	2.72	10.4	12.45	12.39
NBR_0002150401	3.57	4.53	3.9	22.71	17.82	19	5.16	3.75	2.64
NBR_0002150501	10.01	12.28	13.38	28.28	27.04	26.02	14.1	15.33	11.25
NBR_0002150601	289.46	274.02	265.63	1587.98	1538.72	1668.98	229.27	236.28	273.75
NBR_0002150701	11.26	12.37	11.6	18.85	19.03	18.34	13.61	14.89	16.89
NBR_0002150801	1.61	0.31	0.59	1.49	1.36	1.27	0.78	0.44	0.89
NBR_0002150901	7.98	10.35	10.16	4.48	4.76	4.27	10.07	9.07	6.35
NBR_0002151001	50.55	43.29	47	116	113.36	116.81	46.42	49.17	52.52
NBR_0002151101	3.66	3.48	3.98	1.69	2.2	1.97	3.44	3.21	3.68
NBR_0002151201	23.86	25.8	26.63	23.54	27.08	26.63	30.78	26.94	27.72
NBR_0002151301	0	0	0	0	0	0	0	0	0
NBR_0002151401	13.63	12.41	11.8	10.26	10.4	11.11	12.56	11.07	12.05
NBR_0002151501	30.86	33.71	33.01	81.18	74.17	69.86	29.31	28.25	29.92
NBR_0002151601	0	0	0.16	0	0.16	0.34	0	0	0
NBR_0002151701	1.03	1.27	1.06	1.15	1.49	1.31	0.87	1.39	1.07
NBR_0002151801	0	0.19	0.72	0	0	0.19	0.95	1.06	1.26
NBR_0002151901	36.25	35.23	28.76	1.62	1.99	1.63	29.6	28.15	30.04
NBR_0002152001	2.92	2.38	1.72	3.08	2.34	1.84	2.61	2.82	1.92
NBR_0002152101	10.13	9.65	9.86	9.66	8.42	8.35	12.91	10.22	10.75
NBR_0002152201	7.94	9.09	8.63	10.63	10.45	12.1	8.65	7.66	6.56
NBR_0002152301	2.22	2.47	2.24	1.78	1.74	2.11	2.93	2.14	1.84
NBR_0002152401	1.11	0.71	3.39	3.43	6.94	6.56	2.5	5.67	1.71
NBR_0002152501	32.18	29.37	31.39	37.61	33.89	37.24	24.65	29.9	30.01
NBR_0002152601	35.38	37.79	45.26	11.13	11.35	11.54	90.45	97.4	106.06
NBR_0002152701	92.07	95.67	117.44	28.82	30.9	31.91	267.3	247.6	301.16
NBR_0002152801	38.37	35.19	36.73	33.91	39.06	43.77	39.81	40.19	45.1
NBR_0002152901	156.84	157.4	136.2	2.72	4.99	2.71	129	110.59	100.37
NBR_0002153001	8.53	6.64	6.83	2.54	2.11	2.01	8.35	9.77	7.78
NBR_0002153101	2.68	1.65	2.45	3.2	2.36	3.56	3.49	3.26	2.47
NBR_0002153201	2.87	3.04	2.92	4.13	2.09	3.77	5.54	2.59	5
NBR_0002153301	0	0	0	0	0.12	0	0	0.23	0.12
NBR_0002153401	6.01	5.72	6.51	10.07	10.42	9.18	6.64	7.21	10.64
NBR_0002153501	14.1	13.96	17.27	3.13	2.9	3.88	14.4	19.79	15.56
NBR_0002153601	86.82	101.52	78.75	346.3	400.47	402.69	86.35	86.32	70.03
NBR_0002153701	5.83	5.68	8.49	0.43	0.62	0.26	7.15	10.56	11.34
NBR_0002153801	27.54	21.22	12.89	4.93	4.99	4.81	18.37	18.02	18.35
NBR_0002153901	77.47	86.89	101.27	115.55	118.57	105.8	94.94	107.87	79.41
NBR_0002154001	115.79	124.39	126.19	112.9	105.73	100.14	138.05	136.76	137.32
NBR_0002154101	20.86	25.35	21.53	9.49	12.2	11.97	24.7	23.87	23.32
NBR_0002154201	788.44	726.6	726.92	375.96	403.5	420.49	688.48	706.6	698.19
NBR_0002154301	18.15	18.36	20.33	22.52	25.12	26.67	23.22	22.67	22.67
NBR_0002154401	0	0.19	0.18	0	0.09	0.1	0.09	0.18	0.09
NBR_0002154501	0	0.08	0.15	0.15	0.23	0.16	0.15	0.07	0
NBR_0002154601	69.22	79.76	81.07	30.57	29.77	30.02	91.9	90.14	86.44
NBR_0002154701	1.43	1.76	1.69	1.64	2.24	2.08	2.63	2.71	2.45
NBR_0002154801	7.02	8.45	9.62	13.92	9.28	12.98	9.74	9.66	7.4
NBR_0002154901	43.55	37.66	40.72	33.45	38.57	38.63	48.65	49.13	43.9
NBR_0002155001	9.66	11.26	10.73	7.89	9.7	7.12	16.3	13.67	15.24
NBR_0002155101	1.02	0.97	0.78	0.16	0.32	0.33	0.65	0.31	0
NBR_0002155201	4.3	5.26	4.94	8.06	10.12	8.45	7.46	7.07	7.57
NBR_0002155301	0.23	1.52	0.62	2.73	2.77	1.79	0.66	1.02	0.42
NBR_0002155401	3	1.59	1.53	2.47	1.25	2.62	1.93	2.7	1.23
NBR_0002155501	34.33	41.76	36.19	69.51	73.55	71.31	35.99	37.63	27.07
NBR_0002155601	0	0	0.24	0.24	1.97	2.85	0	0	0.73
NBR_0002155701	0.53	0.25	1.2	0.73	1.23	0	0.51	1.42	1.7
NBR_0002155801	6.85	7.41	8.8	5.62	5.19	7.57	8.61	8.45	5.53
NBR_0002155901	1.07	1.15	1.47	0.25	0.38	0.53	1.55	3.51	2.1
NBR_0002156001	0	0	0	0.21	0	0	0.22	0	0.41
NBR_0002156101	0.35	0.84	1.45	0.32	0.49	0.52	1.52	0.63	1.94
NBR_0002156201	0.81	2.89	2.22	0.37	0.57	0.2	1.56	2.73	2.98
NBR_0002156301	18.48	19.06	18.1	24.09	23.69	21.3	12.72	12.47	11.43
NBR_0002156401	1032.1	995.29	1076.67	628.11	641.41	627.02	954.19	1086.27	1107.32
NBR_0002156501	6.98	4.88	2.77	1.29	1.09	1.83	3.36	3.77	4.07
NBR_0002156601	426.25	444.64	442.51	454.67	414.69	406.97	445.32	404.83	432.37
NBR_0002156701	20.58	23.44	21.96	8.74	7.8	10.49	27.28	27.08	27.12
NBR_0002156801	0.8	0.28	0.47	0.47	0.21	0.93	0.7	0.33	0.67
NBR_0002156901	6.44	7.25	8.05	21.44	21.96	23.86	8.53	6.06	6.25
NBR_0002157001	0.37	0.09	0.25	0.09	0	0	0.18	0.08	0.08
NBR_0002157101	0	0.57	0	1.47	1.67	0.97	0.38	0.36	0.55
NBR_0002157201	0	0.1	0	5.31	4.9	3.94	0	0.09	0
NBR_0002157301	19.86	22.38	22.16	12.21	10.55	15.93	28.74	29.76	28.78
NBR_0002157401	0	0	0	0	0	0	0	0.23	0
NBR_0002157501	28.28	33.74	30.65	78.84	78.12	76.99	27.71	23.31	20.9
NBR_0002157601	7.83	10.14	7.86	17.43	21.51	17.91	6.31	4.97	5.19
NBR_0002157701	0.91	1.73	2.18	0	0.11	0.34	1.1	0.61	0.73
NBR_0002157801	6.28	6.73	5.92	1.63	1.19	1.83	4.92	3.36	3.16
NBR_0002157901	1.29	1.68	0.81	0	0	0	0.65	1.04	0.5
NBR_0002158001	18.63	24.54	22.4	11	11.07	11.2	17.46	16.77	13.85
NBR_0002158101	0	0	0	0	0.18	0	0.19	0.18	0
NBR_0002158201	3.12	4.3	5.08	2.25	4.55	3.92	4.01	2.97	2.87
NBR_0002158301	27.34	24.68	22.87	10.4	12.1	12.37	20.24	17.29	17.64
NBR_0002158401	0	0	0.14	0.14	0	0.3	0	0	0
NBR_0002158501	0.56	0.86	0.79	0	0.18	0.11	1.16	0.57	0.76
NBR_0002158601	0	0	0.09	0.18	0	0	0	0	0
NBR_0002158701	0	0	0	0	0	0	0	0	0
NBR_0002158801	0.35	0.34	0.4	0.28	0.45	0.43	1.14	0.59	0.61
NBR_0002158901	0.17	0	0.46	0.31	0	0	0.32	0.15	0.15
NBR_0002159001	0.4	0.32	0.24	3.19	5.71	6.32	0.83	1.25	0.98
NBR_0002159101	14.84	11.75	7.58	0	0.13	0.23	7.4	6.06	4.94
NBR_0002159201	0.83	1.47	1.19	0.99	1	1.05	0.91	0.85	0.98
NBR_0002159301	9.91	8.61	8	10.51	9.28	8.88	11.89	10.67	10.55
NBR_0002159401	0	0	0.11	0.16	0.16	0.06	0	0.1	0.05
NBR_0002159501	1.15	2.18	2.34	2.3	2.34	2.78	2.6	2.31	1.61
NBR_0002159601	0	0	0	0	0	0	0	0	0
NBR_0002159701	52.22	49.76	56.12	43.5	45.6	49.71	60.32	61.07	63.15
NBR_0002159801	11.58	10.71	11.35	4.28	2.48	2.6	10.68	10.72	14.31
NBR_0002159901	6.16	6.05	5.28	1.78	1.8	3.59	9.64	8.49	5.49
NBR_0002160001	6.72	5.75	6.71	2.89	3.01	4.21	7.88	7.84	7.59
NBR_0002160101	43.52	40.27	38.82	32.52	34	37.58	45.26	41.21	45.78
NBR_0002160201	4.98	5.71	6.16	6.14	6.83	5.53	10.49	8.64	8.83
NBR_0002160301	7.76	10.69	7.01	7.87	8.85	8.55	7.39	8.17	5.85
NBR_0002160401	77.06	84.81	80.92	83.24	89.43	94.27	75.51	76.91	63.04
NBR_0002160501	18.32	21.93	18.59	10.28	9.05	7.75	15.64	18.37	17.14
NBR_0002160601	40.17	48	50.56	23.09	26.5	27.59	53.35	54.26	58.64
NBR_0002160701	5.16	4.68	5.58	4.01	4.54	3.71	5.76	4.65	5.04
NBR_0002160801	9.16	10.34	10.36	5.59	5.81	7.02	7.63	11.59	10.56
NBR_0002160901	8.43	12.92	10.48	11.32	11.96	15.02	10.28	9.48	9.94
NBR_0002161001	19.57	26.82	20.09	14	13.02	10.36	15.45	16.34	14.67
NBR_0002161101	0	0	0	0	0	0	0.1	0	0
NBR_0002161201	12.08	15.94	14.35	12.3	11.04	13.79	12.14	13.18	8.84
NBR_0002161301	2.13	1.52	2.43	7.04	7.88	9.14	2.39	2.47	3.18
NBR_0002161401	0	0	0	0	0	0	0	0	0
NBR_0002161501	0.23	0.88	0.95	0.64	0.22	0.34	0.67	0.1	0.42
NBR_0002161601	18.06	19.48	14.13	15.48	23.03	23.53	21.8	18.61	21.62
NBR_0002161701	0.19	0.19	0.53	0	0	0	0.75	0.35	0.54
NBR_0002161801	160.72	130.56	154.21	171.54	168.73	182.19	115.59	130.53	175.56
NBR_0002161901	0.45	0	0.42	0	0	0	0	0	0.42
NBR_0002162001	1.4	2.01	3.21	12.01	10.85	10.01	1.69	0.63	0.65
NBR_0002162101	4.9	3.63	2.86	0	0	0	0.52	0.49	0.38
NBR_0002162201	5.94	8.24	5.31	9.91	6.77	8.63	6.6	5.81	5.11
NBR_0002162301	1.95	1.59	2.29	11.18	9.76	11.07	1.74	2.13	1.02
NBR_0002162401	16.74	19.9	20.8	14.11	15.12	17.49	26.46	24.76	25.85
NBR_0002162501	13.87	14.91	15.95	17.05	18.33	21.44	18.64	20.53	24.9
NBR_0002162601	0.27	0.17	0.58	0.21	0.08	0.35	0.26	0.53	0.17
NBR_0002162701	29.47	26.87	38.34	25.34	25.98	35.79	39.49	51.64	41.18
NBR_0002162801	11.08	9.25	10.66	17.78	8.74	15.67	10.86	14.34	14.13
NBR_0002162901	498.1	414.92	491.29	1142.42	1056.73	947.8	339.87	353	286.07
NBR_0002163001	36.89	28.5	28.24	4.67	4.03	5.17	27.65	29.7	35.89
NBR_0002163101	7.17	8	5.76	4.8	6.37	5.59	4.88	5.56	5.23
NBR_0002163201	0.11	0.48	0.15	0.16	0.05	0.06	0.81	0.51	0.57
NBR_0002163301	0.39	0.31	0.53	0.24	0.24	0.64	0.44	0.29	0.3
NBR_0002163401	6.8	7.43	6.79	1.28	1.77	1.11	3.03	4.42	2.9
NBR_0002163501	3.64	2.31	1.94	1.96	1.42	1.19	5.26	4.37	3.07
NBR_0002163601	6	5.71	6.38	4.4	3.73	3.72	6.66	5.52	5.46
NBR_0002163701	0.26	0.75	0.24	1.46	0.74	0.52	0.25	0.47	0.24
NBR_0002163801	1.31	0.62	0.6	0.3	0.31	0.16	0.47	0	0.3
NBR_0002163901	0	0	0	0	0	0	0	0	0
NBR_0002164001	0	0.08	0	0.9	1.33	0.96	0	0	0.08
NBR_0002164101	0	0	0	0.4	1.21	0.56	0	0	0
NBR_0002164201	0.71	0.52	0.7	0.44	0.18	0.38	0.96	0.98	0.5
NBR_0002164301	3.93	3.59	4.13	3.34	4.03	4.07	3.48	4.59	3.62
NBR_0002164401	69.43	68.09	70.99	60	55.9	53.59	74.17	70.01	77.13
NBR_0002164501	0	0.16	0	0	0	0	0	0	0.31
NBR_0002164601	41.56	48.04	48.33	37.07	37.65	33.61	55.78	56.5	59.23
NBR_0002164701	52.45	66.93	55.58	265.45	283.82	259.82	65.33	54.45	45.57
NBR_0002164801	1.6	1.98	1.9	1.78	1.8	2.68	1.23	1.59	1.92
NBR_0002164901	39.67	43.64	47.64	39.34	38.63	35.44	42.01	43.04	39.72
NBR_0002165001	391.46	400.89	474.26	468.24	463.4	436.47	511.83	610.79	646.09
NBR_0002165101	2.92	3.89	4.44	2.87	3.09	4.97	1.69	3.67	1.97
NBR_0002165201	1723.82	1838.17	1810.24	1320.06	1327.37	1326.12	1651.99	1659.02	1718.99
NBR_0002165301	0	0.34	0.82	0.33	0.33	0.18	2.41	2.41	4.6
NBR_0002165401	0.91	1.16	1.3	0.75	0.86	0.9	0.29	0.09	0.37
NBR_0002165501	12.69	20.08	15.04	12.39	11.22	9.14	18.26	14.64	18.25
NBR_0002165601	0.63	0.6	0.77	0.78	0.2	0.62	1.02	1.14	1.55
NBR_0002165701	0	0	0.24	1.73	1	1.84	0	0	0.25
NBR_0002165801	17.12	16.55	13.65	9.98	9.05	9.92	12.01	12.96	10.02
NBR_0002165901	0.35	0.63	0.45	0.26	0.1	0.03	1.05	0.88	0.77
NBR_0002166001	0	0	0	0.71	1.44	0.76	0.19	0.17	0
NBR_0002166101	13.21	14.78	14.14	5.19	5.2	6.36	13.69	12.19	14.41
NBR_0002166201	0.42	1.69	0.86	1.35	2.44	2.05	1.91	1.03	1.06
NBR_0002166301	0.26	0.42	0.32	0.24	0.16	0.09	0.76	0.16	0.48
NBR_0002166401	52.31	38.4	39.42	2.57	1.51	1.87	28.44	32.09	29.04
NBR_0002166501	7.97	8.05	10.01	1.98	1.23	2.31	6.54	6.61	6.88
NBR_0002166601	0	0	0	0	0	0	0	0	0
NBR_0002166701	15.23	15.55	21.22	14.75	13.34	10.99	27.45	33.94	37.51
NBR_0002166801	3.65	3.34	3.79	0.59	0.67	1.12	8.06	6.95	5
NBR_0002166901	23.94	30.22	26.11	39.87	43.09	42.38	25.26	25.11	19.79
NBR_0002167001	13.43	14.58	12.65	9.56	8.37	8.52	18.96	16.57	17.37
NBR_0002167101	4.25	4.77	7.9	0.28	0	0	1.75	1.23	2.37
NBR_0002167201	777.83	772.59	884.17	285.09	251.13	254.98	825.03	984.79	1044.21
NBR_0002167301	76.51	57.19	59.18	17.74	12.33	9.97	58.13	48.87	59.54
NBR_0002167401	3.32	2.82	3.14	0.33	0.11	0.23	1.94	3.09	1.96
NBR_0002167501	0	0	0	0	0	0	0.25	0	0.24
NBR_0002167601	0.15	0.42	0.54	0.27	0.96	0.14	0	0	0.54
NBR_0002167701	86.99	90.84	100.56	166.94	174.06	170.29	103.59	83.86	65.26
NBR_0002167801	0	0	0	0	0	0	0	0	0
NBR_0002167901	50	53.9	54.27	76.28	81.42	82.15	61.07	58.64	57.29
NBR_0002168001	0.23	0.11	0.93	0.31	0.95	1.11	0.54	0.71	0.52
NBR_0002168101	0	0	0	0	0	0	0	0	0
NBR_0002168201	94.86	113	95.64	31.65	28.54	24.97	94.66	93.13	87.87
NBR_0002168301	0.09	0.21	0.2	0.37	0.21	0.35	0.04	0.4	0.24
NBR_0002168401	0.13	0.21	0.44	0.82	0.58	0.96	0.6	0.8	0.37
NBR_0002168501	20.78	26.02	26.03	55.49	52.6	51.01	17.55	15.88	16.06
NBR_0002168601	22.06	20.87	21.99	2.1	2.93	3.92	23.17	22.54	19.38
NBR_0002168701	0.29	0.27	2.09	1.32	1.87	3.37	0	1.8	0.79
NBR_0002168801	10.16	7.62	9.37	7.63	8.05	10.23	9.83	10.89	10.86
NBR_0002168901	38.29	44.64	52.53	16.09	19.45	17.48	78.11	90.87	77.33
NBR_0002169001	12.47	14.3	18.02	14.37	17.59	17.41	25.82	17.95	18.2
NBR_0002169101	3.95	3.59	4.01	4.08	4.54	4.62	3.96	4.28	4.26
NBR_0002169201	8.12	9.69	10.47	23.89	21.09	23.15	25.05	16.04	18.26
NBR_0002169301	0	0.38	0.09	0	0.09	0.1	0	0.27	0
NBR_0002169401	20.02	23.32	22.06	11.4	12.22	9.14	17.39	23.17	17.92
NBR_0002169501	4.57	5.63	5.04	8.57	7.3	8.58	3.24	4.72	3.21
NBR_0002169601	28.47	28.38	30.7	28.25	28.37	28.1	33.68	34.64	35.7
NBR_0002169701	33.79	44.95	56.26	80.78	79.64	65.17	72.02	64.63	53.22
NBR_0002169801	0	0	0	0	0	0	0	0	0
NBR_0002169901	0	0	0	0	0.23	0.47	0	0	0
NBR_0002170001	10.13	6.89	6.84	6.46	6.1	5.93	13.48	17.37	12.65
NBR_0002170101	0	0.28	0	0.09	0	0.1	0	0.09	0
NBR_0002170201	0	0	0	0.32	0	0	0	0	0
NBR_0002170301	0	0	0	0	0	0	0	0	0
NBR_0002170401	25.36	29.17	36.24	18.12	14	16.75	44.25	43.16	35.65
NBR_0002170501	14.36	18.63	26.02	36.91	41.2	39.97	14.1	16.64	13.87
NBR_0002170601	0	0	0.2	0	0	0	0	0	0
NBR_0002170701	8.16	7.66	6.91	3.02	3.29	3.09	7.34	7.19	6.34
NBR_0002170801	0.12	0	0.11	0	0	0.12	0.24	0.11	0
NBR_0002170901	4.84	5.84	4.58	5.74	7.41	5.08	4.82	5.74	2.38
NBR_0002171001	15.48	15.38	17.23	36.37	34.82	41.67	17.02	17.11	16.56
NBR_0002171101	161.07	166.83	166.31	409.97	402.57	401.02	180.33	153.5	168.47
NBR_0002171201	8.86	6.26	7.45	1.55	1.48	0.95	9.87	11.14	12.98
NBR_0002171301	1.19	1.54	2.88	3.7	4.47	3.35	1.97	1.76	2.19
NBR_0002171401	0	0.22	0	0	0	0	0.22	0	0
NBR_0002171501	0.13	0	0.24	0	0.25	0	0.38	0.24	0.24
NBR_0002171601	0	0.36	0.17	0	0.18	0	0.55	0.51	0.17
